Year,Share.with.medical.debt.in.collections,Share.with.medical.debt.in.collections...Majority.White,Hospital.market.concentration..HHI.,Number.of.Closures.and.Mergers,Share.of.the.population.with.no.health.insurance.coverage,Share.of.non.elderly.adults.with.a.reported.disability,Average.household.income.in..2023,FIPS
2016,0.221,0.219,985,0,0.067,0.128,85167,36039
2017,0.185,0.185,1031,0,0.057,0.13,86291,36039
2018,0.184,0.183,1055,0,0.055,0.124,82790,36039
2019,0.166,0.166,1019,0,0.042,0.125,84182,36039
2020,0.137,0.137,1089,0,0.037,0.11,89555,36039
2021,0.11,0.11,1084,0,0.04,0.117,93755,36039
2022,0.079,0.079,1130,0,0.035,0.112,97576,36039
2023,0.02,0.02,NA,NA,NA,NA,NA,36039
2011,0.09,0.09,1349,0,NA,NA,86331,36041
2012,0.102,0.102,1300,0,0.07,0.091,84781,36041
2013,0.13,0.13,1416,0,0.076,0.092,84025,36041
2014,0.115,0.115,1383,0,0.094,0.11,82001,36041
2015,0.056,0.056,1353,0,0.103,0.127,78508,36041
2016,0.034,0.034,1343,0,0.096,0.12,79433,36041
2017,0.046,0.046,1376,0,0.116,0.097,79605,36041
2018,0.037,0.037,1393,0,0.068,0.156,80750,36041
2019,0.046,0.046,1383,0,0.061,0.189,82152,36041
2020,0.057,0.057,1427,0,0.069,0.154,84743,36041
2021,0.029,0.029,1431,0,0.047,0.208,85509,36041
2022,0.043,0.043,1473,0,0.047,0.164,89862,36041
2023,0.006,0.006,NA,NA,NA,NA,NA,36041
2011,0.132,0.132,2923,0,NA,NA,73034,36043
2012,0.125,0.125,2825,0,0.103,0.112,73373,36043
2013,0.131,0.131,2829,0,0.096,0.111,73093,36043
2014,0.127,0.127,2836,0,0.09,0.113,72900,36043
2015,0.091,0.091,3022,0,0.086,0.117,73877,36043
2016,0.104,0.104,3063,0,0.077,0.121,76175,36043
2017,0.089,0.089,2987,0,0.066,0.138,75395,36043
2018,0.092,0.092,3043,0,0.059,0.136,77468,36043
2019,0.09,0.09,2994,0,0.05,0.14,80487,36043
2020,0.083,0.083,3077,0,0.044,0.131,83957,36043
2021,0.092,0.092,3071,0,0.047,0.132,83348,36043
2022,0.083,0.083,3000,0,0.047,0.125,85469,36043
2023,0.042,0.042,NA,NA,NA,NA,NA,36043
2011,0.189,0.188,1072,0,NA,NA,76346,36045
2012,0.194,0.194,1121,0,0.095,0.125,76408,36045
2013,0.2,0.2,1163,0,0.095,0.127,76068,36045
2014,0.203,0.203,1173,0,0.086,0.125,77450,36045
2015,0.187,0.187,1189,0,0.081,0.126,77702,36045
2016,0.162,0.162,1296,0,0.078,0.125,79069,36045
2017,0.102,0.102,1275,0,0.064,0.126,78533,36045
2018,0.156,0.156,1209,0,0.06,0.131,79199,36045
2019,0.152,0.152,1185,0,0.053,0.134,78581,36045
2020,0.149,0.149,1186,0,0.048,0.131,83141,36045
2021,0.138,0.138,1195,0,0.049,0.13,83893,36045
2022,0.134,0.134,1145,0,0.054,0.127,83743,36045
2023,0.06,0.06,NA,NA,NA,NA,NA,36045
2011,0.079,0.046,1198,0,NA,NA,87839,36047
2012,0.057,0.031,1284,1,0.138,0.07,87285,36047
2013,0.056,0.031,1550,0,0.137,0.068,88458,36047
2014,0.057,0.033,1184,0,0.131,0.07,89580,36047
2015,0.045,0.029,1218,0,0.12,0.071,92506,36047
2016,0.04,0.027,1335,0,0.107,0.073,96245,36047
2017,0.039,0.024,1336,0,0.095,0.074,100418,36047
2018,0.05,0.03,1398,0,0.082,0.073,104247,36047
2019,0.036,0.025,1429,1,0.073,0.07,109184,36047
2020,0.036,0.025,1476,0,0.067,0.069,113695,36047
2021,0.034,0.024,1489,2,0.066,0.07,116827,36047
2022,0.03,0.021,1464,0,0.063,0.072,119007,36047
2023,0.01,0.006,NA,NA,NA,NA,NA,36047
2011,0.129,0.129,1184,0,NA,NA,73121,36049
2012,0.165,0.165,1224,0,0.108,0.111,73457,36049
2013,0.136,0.136,1264,0,0.113,0.107,75103,36049
2014,0.124,0.124,1273,0,0.106,0.112,76153,36049
2015,0.097,0.097,1300,0,0.099,0.113,79687,36049
2016,0.088,0.088,1403,0,0.09,0.111,81000,36049
2017,0.059,0.059,1379,0,0.078,0.103,82005,36049
2018,0.077,0.077,1320,0,0.066,0.111,80316,36049
2019,0.078,0.078,1294,0,0.055,0.112,80217,36049
2020,0.103,0.103,1300,0,0.046,0.118,81587,36049
2021,0.094,0.094,1308,0,0.049,0.119,82145,36049
2022,0.086,0.086,1257,0,0.043,0.128,80396,36049
2023,0.039,0.039,NA,NA,NA,NA,NA,36049
2011,0.134,0.134,2187,0,NA,NA,84593,36051
2012,0.15,0.15,2337,0,0.065,0.088,83881,36051
2013,0.141,0.141,3075,0,0.068,0.092,82605,36051
2014,0.153,0.153,3319,0,0.061,0.088,80577,36051
2015,0.15,0.15,3223,0,0.058,0.1,80653,36051
2016,0.126,0.126,3667,0,0.052,0.099,81273,36051
2017,0.081,0.081,3812,0,0.042,0.107,82184,36051
2018,0.092,0.092,3847,0,0.033,0.107,83729,36051
2019,0.068,0.068,4034,0,0.032,0.106,87335,36051
2020,0.053,0.053,4130,0,0.031,0.1,90156,36051
2021,0.045,0.045,4157,0,0.031,0.104,93297,36051
2022,0.03,0.03,4196,0,0.034,0.11,93360,36051
2023,0.01,0.01,NA,NA,NA,NA,NA,36051
2011,0.124,0.124,1091,0,NA,NA,88650,36053
2012,0.122,0.122,1138,0,0.085,0.086,85791,36053
2013,0.15,0.15,1180,0,0.072,0.082,86652,36053
2014,0.159,0.159,1189,0,0.065,0.088,87227,36053
2015,0.138,0.138,1207,0,0.057,0.095,88286,36053
2016,0.129,0.129,1313,0,0.053,0.094,89815,36053
2017,0.154,0.154,1292,0,0.049,0.1,90526,36053
2018,0.17,0.17,1227,0,0.048,0.106,90995,36053
2019,0.139,0.139,1203,0,0.044,0.105,93686,36053
2020,0.129,0.129,1204,0,0.04,0.102,93700,36053
2021,0.123,0.123,1214,0,0.038,0.105,94131,36053
2022,0.111,0.111,1164,0,0.033,0.107,95577,36053
2023,0.035,0.035,NA,NA,NA,NA,NA,36053
2011,0.175,0.127,2189,0,NA,NA,92789,36055
2012,0.175,0.125,2341,0,0.07,0.106,92207,36055
2013,0.162,0.121,3086,0,0.072,0.107,91807,36055
2014,0.153,0.112,3333,0,0.067,0.105,91083,36055
2015,0.133,0.099,3232,0,0.061,0.107,91218,36055
2016,0.114,0.086,3682,0,0.052,0.111,91996,36055
2017,0.11,0.085,3828,0,0.045,0.114,93326,36055
2018,0.112,0.085,3863,1,0.038,0.116,94167,36055
2019,0.099,0.078,4053,0,0.033,0.121,96163,36055
2020,0.081,0.064,4149,0,0.032,0.123,98577,36055
2021,0.055,0.045,4175,0,0.032,0.124,99904,36055
2022,0.033,0.027,4213,1,0.032,0.123,100088,36055
2023,0.01,0.008,NA,NA,NA,NA,NA,36055
2011,0.174,0.174,1072,0,NA,NA,75736,36057
2012,0.119,0.119,1007,0,0.112,0.134,74564,36057
2013,0.117,0.117,1112,0,0.11,0.134,75051,36057
2014,0.117,0.117,1148,0,0.107,0.134,74787,36057
2015,0.128,0.128,1109,0,0.089,0.136,73966,36057
2016,0.125,0.125,1103,0,0.088,0.13,74073,36057
2017,0.145,0.145,1143,0,0.082,0.142,77217,36057
2018,0.147,0.147,1168,0,0.066,0.145,75425,36057
2019,0.13,0.13,1132,0,0.063,0.142,77360,36057
2020,0.133,0.133,1202,0,0.057,0.132,79009,36057
2021,0.122,0.122,1198,0,0.061,0.142,78264,36057
2022,0.121,0.121,1236,0,0.056,0.149,77570,36057
2023,0.064,0.064,NA,NA,NA,NA,NA,36057
2011,0.037,0.031,1541,0,NA,NA,168975,36059
2012,0.037,0.03,1550,0,0.088,0.057,166295,36059
2013,0.044,0.034,1585,0,0.09,0.056,164971,36059
2014,0.043,0.035,1813,0,0.084,0.056,165013,36059
2015,0.035,0.031,1657,0,0.075,0.055,166215,36059
2016,0.033,0.031,1923,1,0.066,0.054,169537,36059
2017,0.033,0.031,2060,0,0.058,0.054,174054,36059
2018,0.035,0.032,2034,0,0.048,0.054,177831,36059
2019,0.033,0.03,2329,0,0.044,0.054,182094,36059
2020,0.032,0.028,2351,1,0.041,0.055,186239,36059
2021,0.029,0.025,2505,0,0.041,0.058,187613,36059
2022,0.025,0.022,2573,0,0.04,0.059,188269,36059
2023,0.008,0.006,NA,NA,NA,NA,NA,36059
2011,0.048,0.03,1196,0,NA,NA,172591,36061
2012,0.039,0.026,1283,0,0.109,0.069,170830,36061
2013,0.035,0.026,1550,0,0.106,0.067,170678,36061
2014,0.035,0.026,1180,0,0.098,0.067,170975,36061
2015,0.029,0.024,1216,0,0.089,0.066,174435,36061
2016,0.027,0.022,1332,0,0.076,0.066,176148,36061
2017,0.027,0.021,1333,0,0.067,0.066,181513,36061
2018,0.031,0.025,1395,2,0.058,0.067,184444,36061
2019,0.029,0.024,1424,1,0.052,0.067,190182,36061
2020,0.03,0.023,1472,1,0.047,0.067,193076,36061
2021,0.03,0.024,1484,0,0.047,0.069,194193,36061
2022,0.026,0.02,1458,0,0.046,0.074,191634,36061
2023,0.008,0.006,NA,NA,NA,NA,NA,36061
2011,0.15,0.15,1915,0,NA,NA,80976,36063
2012,0.153,0.153,1951,0,0.081,0.111,80721,36063
2013,0.157,0.157,1862,0,0.077,0.112,80739,36063
2014,0.154,0.154,1827,0,0.072,0.111,81313,36063
2015,0.145,0.145,2152,0,0.063,0.116,81530,36063
2016,0.125,0.125,2026,0,0.054,0.115,82129,36063
2017,0.105,0.105,2061,0,0.049,0.118,83061,36063
2018,0.109,0.109,2115,0,0.036,0.12,84920,36063
2019,0.1,0.1,1921,0,0.033,0.12,86389,36063
2020,0.089,0.089,2059,0,0.031,0.119,86562,36063
2021,0.079,0.079,2175,0,0.027,0.126,87780,36063
2022,0.068,0.068,2277,0,0.023,0.129,87945,36063
2023,0.021,0.021,NA,NA,NA,NA,NA,36063
2011,0.184,0.184,2355,0,NA,NA,83359,36065
2012,0.183,0.183,2304,0,0.077,0.13,82751,36065
2013,0.185,0.185,2319,0,0.073,0.128,81666,36065
2014,0.191,0.191,2326,0,0.069,0.127,81651,36065
2015,0.146,0.146,2461,0,0.066,0.134,82092,36065
2016,0.15,0.15,2525,0,0.056,0.13,83084,36065
2017,0.132,0.132,2465,0,0.05,0.128,83647,36065
2018,0.15,0.149,2481,0,0.042,0.124,85861,36065
2019,0.14,0.14,2440,0,0.04,0.121,87769,36065
2020,0.128,0.128,2495,0,0.038,0.11,89444,36065
2021,0.128,0.128,2494,0,0.039,0.113,90208,36065
2022,0.112,0.112,2428,0,0.034,0.123,90360,36065
2023,0.046,0.046,NA,NA,NA,NA,NA,36065
2011,0.161,0.148,1072,0,NA,NA,93205,36067
2012,0.154,0.141,1121,0,0.087,0.095,92899,36067
2013,0.158,0.143,1163,0,0.085,0.095,92184,36067
2014,0.172,0.156,1173,0,0.077,0.099,91970,36067
2015,0.172,0.16,1189,0,0.067,0.101,92739,36067
2016,0.18,0.166,1296,0,0.058,0.104,93792,36067
2017,0.188,0.171,1275,0,0.052,0.105,95200,36067
2018,0.195,0.18,1209,1,0.041,0.106,96380,36067
2019,0.155,0.143,1185,0,0.037,0.106,98408,36067
2020,0.15,0.138,1186,0,0.035,0.111,98292,36067
2021,0.145,0.133,1195,0,0.034,0.116,99086,36067
2022,0.131,0.121,1145,0,0.035,0.12,98405,36067
2023,0.031,0.03,NA,NA,NA,NA,NA,36067
2011,0.164,0.165,2189,0,NA,NA,97735,36069
2012,0.154,0.154,2341,0,0.081,0.094,95516,36069
2013,0.161,0.161,3086,0,0.083,0.094,96065,36069
2014,0.163,0.163,3333,0,0.079,0.091,95139,36069
2015,0.163,0.162,3232,0,0.068,0.094,96814,36069
2016,0.133,0.132,3682,0,0.058,0.096,97309,36069
2017,0.141,0.141,3828,0,0.05,0.098,101988,36069
2018,0.154,0.154,3863,0,0.04,0.102,102878,36069
2019,0.146,0.146,4053,0,0.033,0.102,105186,36069
2020,0.145,0.145,4149,0,0.033,0.105,103076,36069
2021,0.096,0.096,4175,0,0.034,0.103,106061,36069
2022,0.063,0.063,4213,0,0.033,0.112,105872,36069
2023,0.027,0.027,NA,NA,NA,NA,NA,36069
2011,0.161,0.132,2521,0,NA,NA,116863,36071
2012,0.176,0.137,2532,0,0.104,0.104,116518,36071
2013,0.129,0.108,2634,0,0.099,0.102,115481,36071
2014,0.144,0.12,2746,0,0.09,0.102,113832,36071
2015,0.136,0.112,2871,0,0.079,0.105,115031,36071
2016,0.133,0.11,2920,0,0.068,0.105,114830,36071
2017,0.117,0.098,3124,0,0.058,0.102,117164,36071
2018,0.108,0.091,3205,0,0.052,0.103,117076,36071
2019,0.104,0.085,3126,0,0.048,0.105,120325,36071
2020,0.096,0.078,3019,0,0.048,0.096,120242,36071
2021,0.098,0.081,3074,0,0.047,0.095,122558,36071
2022,0.075,0.062,3094,0,0.049,0.098,121374,36071
2023,0.026,0.022,NA,NA,NA,NA,NA,36071
2011,0.171,0.171,2002,0,NA,NA,76849,36073
2012,0.196,0.196,2075,0,0.109,0.135,77732,36073
2013,0.167,0.167,2252,0,0.101,0.135,77080,36073
2014,0.169,0.169,2307,0,0.096,0.147,74222,36073
2015,0.19,0.19,2497,0,0.085,0.153,73159,36073
2016,0.185,0.185,2555,0,0.077,0.145,75823,36073
2017,0.132,0.132,2625,0,0.064,0.139,75767,36073
2018,0.14,0.14,2673,0,0.055,0.138,78103,36073
2019,0.13,0.13,2602,0,0.051,0.13,79467,36073
2020,0.1,0.1,2726,0,0.05,0.127,80615,36073
2021,0.082,0.082,2814,0,0.047,0.138,82609,36073
2022,0.049,0.049,2895,0,0.054,0.147,83990,36073
2023,0.019,0.019,NA,NA,NA,NA,NA,36073
2011,0.214,0.213,1072,0,NA,NA,78698,36075
2012,0.209,0.209,1121,0,0.083,0.116,78350,36075
2013,0.227,0.226,1163,0,0.087,0.118,78815,36075
2014,0.2,0.2,1173,0,0.085,0.121,78281,36075
2015,0.205,0.205,1189,0,0.078,0.13,77855,36075
2016,0.219,0.219,1296,0,0.071,0.128,79075,36075
2017,0.226,0.226,1275,0,0.061,0.133,81492,36075
2018,0.226,0.226,1209,0,0.05,0.131,83167,36075
2019,0.191,0.192,1185,0,0.046,0.131,85374,36075
2020,0.195,0.195,1186,0,0.042,0.125,88086,36075
2021,0.195,0.195,1195,0,0.042,0.125,89860,36075
2022,0.168,0.168,1145,0,0.042,0.131,88430,36075
2023,0.064,0.064,NA,NA,NA,NA,NA,36075
2011,0.094,0.094,2447,0,NA,NA,78380,36077
2012,0.105,0.105,2590,0,0.083,0.108,78683,36077
2013,0.086,0.086,2741,0,0.085,0.098,79328,36077
2014,0.086,0.086,3013,0,0.084,0.098,78887,36077
2015,0.093,0.093,3141,0,0.074,0.101,80014,36077
2016,0.084,0.084,3148,0,0.072,0.106,79829,36077
2017,0.063,0.063,3198,0,0.064,0.103,82921,36077
2018,0.067,0.067,3216,0,0.057,0.106,83473,36077
2019,0.061,0.061,3009,0,0.048,0.113,83912,36077
2020,0.061,0.061,3191,0,0.052,0.101,85900,36077
2021,0.053,0.053,3155,0,0.05,0.099,90001,36077
2022,0.046,0.046,3138,0,0.051,0.101,90190,36077
2023,0.012,0.012,NA,NA,NA,NA,NA,36077
2011,0.069,0.069,1338,0,NA,NA,151701,36079
2012,0.071,0.071,1635,0,0.089,0.071,151866,36079
2013,0.074,0.074,2070,0,0.089,0.081,149687,36079
2014,0.078,0.078,2202,0,0.087,0.082,150501,36079
2015,0.083,0.083,2200,0,0.077,0.08,151079,36079
2016,0.074,0.074,2913,0,0.065,0.08,151736,36079
2017,0.078,0.077,2977,0,0.057,0.081,155056,36079
2018,0.076,0.076,2835,0,0.046,0.074,155289,36079
2019,0.076,0.076,3135,0,0.037,0.075,156245,36079
2020,0.079,0.079,3248,0,0.041,0.069,154863,36079
2021,0.062,0.062,3306,0,0.041,0.072,153776,36079
2022,0.06,0.06,3394,0,0.035,0.073,151453,36079
2023,0.022,0.022,NA,NA,NA,NA,NA,36079
2011,0.068,0.049,1505,0,NA,NA,97970,36081
2012,0.06,0.039,1522,1,0.176,0.069,96736,36081
2013,0.06,0.039,1581,0,0.176,0.068,96163,36081
2014,0.06,0.041,1748,1,0.171,0.066,95426,36081
2015,0.048,0.039,1611,0,0.156,0.067,96626,36081
2016,0.043,0.041,1862,1,0.139,0.067,98409,36081
2017,0.046,0.041,1985,0,0.122,0.065,101105,36081
2018,0.046,0.041,1969,0,0.105,0.065,103542,36081
2019,0.042,0.036,2236,0,0.095,0.065,107171,36081
2020,0.042,0.034,2260,0,0.089,0.066,111095,36081
2021,0.039,0.032,2400,0,0.089,0.065,112524,36081
2022,0.033,0.028,2458,0,0.087,0.068,113786,36081
2023,0.009,0.007,NA,NA,NA,NA,NA,36081
2011,0.21,0.209,965,0,NA,NA,94941,36083
2012,0.197,0.197,902,0,0.07,0.097,96408,36083
2013,0.217,0.217,1014,0,0.065,0.096,96018,36083
2014,0.211,0.211,1055,0,0.064,0.099,95380,36083
2015,0.207,0.207,1004,0,0.057,0.103,97247,36083
2016,0.197,0.197,995,0,0.053,0.107,98027,36083
2017,0.17,0.17,1041,0,0.048,0.112,99493,36083
2018,0.17,0.17,1063,0,0.043,0.114,100193,36083
2019,0.18,0.181,1028,0,0.037,0.117,102301,36083
2020,0.131,0.132,1098,1,0.037,0.119,103643,36083
2021,0.094,0.094,1094,1,0.034,0.125,103839,36083
2022,0.086,0.086,1139,0,0.031,0.123,105227,36083
2023,0.028,0.028,NA,NA,NA,NA,NA,36083
2011,0.058,0.044,1196,0,NA,NA,119504,36085
2012,0.047,0.038,1283,0,0.077,0.078,118218,36085
2013,0.049,0.043,1550,0,0.079,0.078,117132,36085
2014,0.061,0.049,1180,0,0.076,0.078,116715,36085
2015,0.047,0.042,1216,0,0.072,0.08,116004,36085
2016,0.043,0.039,1332,0,0.066,0.081,116991,36085
2017,0.044,0.043,1333,0,0.059,0.08,119192,36085
2018,0.043,0.04,1395,0,0.049,0.077,119937,36085
2019,0.037,0.034,1424,0,0.043,0.076,124701,36085
2020,0.032,0.027,1472,0,0.041,0.077,126846,36085
2021,0.03,0.026,1484,0,0.041,0.079,127649,36085
2022,0.026,0.023,1458,0,0.039,0.08,127471,36085
2023,0.007,0.006,NA,NA,NA,NA,NA,36085
2011,0.05,0.042,3754,0,NA,NA,146124,36087
2012,0.056,0.047,3619,0,0.101,0.062,144624,36087
2013,0.059,0.051,3826,0,0.101,0.064,141426,36087
2014,0.074,0.06,3821,0,0.095,0.067,140517,36087
2015,0.071,0.058,4106,0,0.087,0.069,139946,36087
2016,0.068,0.057,4174,0,0.079,0.071,141742,36087
2017,0.049,0.044,4000,0,0.073,0.069,144274,36087
2018,0.05,0.047,3944,0,0.061,0.068,144971,36087
2019,0.051,0.048,4107,0,0.056,0.067,147406,36087
2020,0.053,0.05,3856,0,0.047,0.064,148395,36087
2021,0.049,0.045,3903,0,0.043,0.067,148276,36087
2022,0.038,0.033,3491,0,0.041,0.071,148254,36087
2023,0.013,0.012,NA,NA,NA,NA,NA,36087
2011,0.202,0.202,1565,0,NA,NA,73289,36089
2012,0.2,0.2,1602,0,0.113,0.133,74606,36089
2013,0.209,0.209,1745,0,0.118,0.123,74577,36089
2014,0.207,0.207,1548,0,0.111,0.121,75846,36089
2015,0.18,0.18,1507,0,0.096,0.128,75432,36089
2016,0.143,0.143,1522,0,0.086,0.129,77134,36089
2017,0.094,0.094,1543,0,0.077,0.126,76088,36089
2018,0.152,0.152,1499,0,0.059,0.129,76600,36089
2019,0.138,0.138,1558,0,0.06,0.136,77660,36089
2020,0.148,0.148,1510,0,0.058,0.14,79333,36089
2021,0.139,0.139,1540,0,0.056,0.14,78656,36089
2022,0.14,0.14,1579,0,0.06,0.151,78229,36089
2023,0.057,0.057,NA,NA,NA,NA,NA,36089
2011,0.125,0.125,960,0,NA,NA,111494,36091
2012,0.129,0.129,897,0,0.069,0.076,111038,36091
2013,0.136,0.136,1008,0,0.064,0.08,113158,36091
2014,0.143,0.143,1046,0,0.057,0.087,112407,36091
2015,0.14,0.14,993,0,0.049,0.09,113067,36091
2016,0.118,0.118,985,0,0.044,0.09,116823,36091
2017,0.103,0.103,1031,0,0.038,0.088,119442,36091
2018,0.11,0.11,1055,0,0.035,0.086,122132,36091
2019,0.124,0.124,1019,0,0.033,0.088,124147,36091
2020,0.094,0.094,1089,0,0.028,0.08,127714,36091
2021,0.075,0.075,1084,0,0.027,0.08,128108,36091
2022,0.064,0.064,1130,0,0.028,0.081,127932,36091
2023,0.018,0.018,NA,NA,NA,NA,NA,36091
2011,0.194,0.177,960,0,NA,NA,93895,36093
2012,0.208,0.195,897,0,0.088,0.099,92755,36093
2013,0.209,0.196,1008,0,0.084,0.104,91694,36093
2014,0.22,0.207,1046,0,0.079,0.106,91620,36093
2015,0.217,0.204,993,0,0.069,0.109,93412,36093
2016,0.207,0.194,985,0,0.059,0.115,94711,36093
2017,0.151,0.144,1031,1,0.055,0.119,96269,36093
2018,0.164,0.158,1055,0,0.048,0.112,98127,36093
2019,0.173,0.166,1019,0,0.042,0.117,98951,36093
2020,0.119,0.114,1089,0,0.038,0.119,98518,36093
2021,0.093,0.089,1084,0,0.039,0.112,98550,36093
2022,0.083,0.078,1130,0,0.039,0.11,99718,36093
2023,0.027,0.024,NA,NA,NA,NA,NA,36093
2011,0.117,0.117,1110,0,NA,NA,84378,36095
2012,0.107,0.107,1069,0,0.09,0.119,84226,36095
2013,0.123,0.123,1184,0,0.084,0.124,85800,36095
2014,0.112,0.112,1247,0,0.075,0.129,82569,36095
2015,0.116,0.116,1212,0,0.07,0.129,80737,36095
2016,0.094,0.094,1205,0,0.06,0.128,79774,36095
2017,0.078,0.078,1252,0,0.05,0.133,81243,36095
2018,0.074,0.074,1275,0,0.042,0.129,83220,36095
2019,0.087,0.087,1221,0,0.038,0.133,86418,36095
2020,0.068,0.068,1303,0,0.042,0.13,90211,36095
2021,0.058,0.058,1295,0,0.04,0.139,91054,36095
2022,0.054,0.054,1334,0,0.042,0.131,91667,36095
2023,0.017,0.017,NA,NA,NA,NA,NA,36095
2011,0.277,0.277,3183,0,NA,NA,75628,36097
2012,0.222,0.222,3159,0,0.143,0.12,76580,36097
2013,0.276,0.276,3286,0,0.135,0.106,75157,36097
2014,0.254,0.254,3466,0,0.108,0.118,75309,36097
2015,0.289,0.289,3627,0,0.099,0.126,76591,36097
2016,0.243,0.243,3722,0,0.085,0.134,76837,36097
2017,0.198,0.198,3720,0,0.069,0.138,75023,36097
2018,0.187,0.187,3747,0,0.056,0.147,76797,36097
2019,0.131,0.131,3780,0,0.055,0.153,77755,36097
